,Timestamp,Open,High,Low,Close,VWAP
0,2022-11-26 09:30:00-05:00,1006.295,1017.197,1001.466,1005.068,1007.923
1,2022-11-27 09:30:00-05:00,1003.363,1026.168,993.958,1019.462,1012.711
2,2022-11-28 09:30:00-05:00,1023.229,1037.567,1007.532,1029.598,1024.296
3,2022-11-29 09:30:00-05:00,1026.887,1088.216,1026.887,1077.928,1061.761
4,2022-11-30 09:30:00-05:00,1079.871,1109.309,1076.044,1084.303,1093.675
5,2022-12-01 09:30:00-05:00,1090.882,1090.882,1052.531,1052.927,1072.525
6,2022-12-02 09:30:00-05:00,1050.278,1051.988,1026.147,1031.554,1037.959
7,2022-12-03 09:30:00-05:00,1031.919,1055.647,1028.33,1038.265,1041.064
8,2022-12-04 09:30:00-05:00,1045.351,1080.281,1044.705,1064.556,1066.057
9,2022-12-05 09:30:00-05:00,1062.776,1090.394,1062.776,1088.439,1083.528
10,2022-12-06 09:30:00-05:00,1091.44,1096.602,1059.27,1072.02,1079.791
11,2022-12-07 09:30:00-05:00,1073.524,1079.933,1067.648,1073.065,1075.051
12,2022-12-08 09:30:00-05:00,1076.49,1111.538,1076.49,1104.635,1101.73
13,2022-12-09 09:30:00-05:00,1102.031,1115.11,1097.839,1104.309,1107.655
14,2022-12-10 09:30:00-05:00,1103.162,1108.914,1086.248,1086.248,1096.03
15,2022-12-11 09:30:00-05:00,1087.881,1101.843,1080.524,1086.879,1091.601
16,2022-12-12 09:30:00-05:00,1088.148,1124.423,1074.755,1124.423,1097.433
17,2022-12-13 09:30:00-05:00,1119.493,1119.493,1098.396,1117.794,1110.163
18,2022-12-14 09:30:00-05:00,1125.983,1139.804,1105.029,1138.474,1122.99
19,2022-12-15 09:30:00-05:00,1144.785,1150.956,1109.664,1136.236,1142.537
20,2022-12-16 09:30:00-05:00,1137.096,1188.244,1137.096,1170.217,1166.661
21,2022-12-17 09:30:00-05:00,1173.338,1176.135,1147.872,1152.795,1163.426
22,2022-12-18 09:30:00-05:00,1155.277,1158.236,1145.414,1149.114,1150.843
23,2022-12-19 09:30:00-05:00,1152.426,1157.922,1130.207,1153.973,1147.796
24,2022-12-20 09:30:00-05:00,1162.14,1163.763,1146.238,1147.643,1154.421
25,2022-12-21 09:30:00-05:00,1151.774,1154.777,1136.843,1136.843,1148.768
26,2022-12-22 09:30:00-05:00,1153.434,1159.559,1126.346,1127.57,1136.628
27,2022-12-23 09:30:00-05:00,1126.421,1132.334,1126.421,1129.857,1129.546
28,2022-12-24 09:30:00-05:00,1129.504,1134.464,1125.265,1130.113,1129.448
29,2022-12-25 09:30:00-05:00,1133.781,1143.075,1127.417,1129.021,1132.427
30,2022-12-26 09:30:00-05:00,1129.411,1132.408,1120.381,1125.204,1127.116
31,2022-12-27 09:30:00-05:00,1132.17,1149.975,1126.934,1147.085,1138.812
32,2022-12-28 09:30:00-05:00,1137.435,1137.435,1120.576,1123.691,1127.438
33,2022-12-29 09:30:00-05:00,1124.046,1124.589,1115.516,1118.335,1119.869
34,2022-12-30 09:30:00-05:00,1120.762,1120.762,1104.607,1116.792,1110.049
35,2022-12-31 09:30:00-05:00,1113.856,1114.634,1104.612,1106.792,1108.728
36,2023-01-01 09:30:00-05:00,1107.774,1107.774,1091.992,1104.905,1101.755
37,2023-01-02 09:30:00-05:00,1105.95,1108.668,1095.176,1096.463,1101.909
38,2023-01-03 09:30:00-05:00,1103.396,1115.736,1088.289,1113.361,1106.238
39,2023-01-04 09:30:00-05:00,1112.24,1123.046,1104.083,1109.43,1113.373
40,2023-01-05 09:30:00-05:00,1110.888,1111.556,1094.851,1094.851,1103.106
41,2023-01-06 09:30:00-05:00,1096.799,1114.68,1094.851,1106.983,1107.886
42,2023-01-07 09:30:00-05:00,1108.086,1108.086,1100.377,1101.7,1104.431
43,2023-01-08 09:30:00-05:00,1099.811,1111.403,1079.017,1110.948,1098.267
44,2023-01-09 09:30:00-05:00,1113.578,1127.513,1099.812,1101.703,1109.927
45,2023-01-10 09:30:00-05:00,1101.107,1103.84,1094.076,1095.369,1098.032
46,2023-01-11 09:30:00-05:00,1096.018,1134.467,1072.395,1115.41,1106.714
47,2023-01-12 09:30:00-05:00,1107.057,1107.057,1051.957,1054.435,1064.094
48,2023-01-13 09:30:00-05:00,1055.513,1170.457,1055.513,1134.307,1118.932
49,2023-01-14 09:30:00-05:00,1142.241,1142.76,1120.046,1134.898,1135.969
50,2023-01-15 09:30:00-05:00,1128.916,1153.497,1117.193,1118.559,1132.162
51,2023-01-16 09:30:00-05:00,1121.583,1121.583,1063.381,1063.381,1091.292
52,2023-01-17 09:30:00-05:00,1059.988,1069.951,1049.67,1067.604,1059.627
53,2023-01-18 09:30:00-05:00,1068.523,1068.744,1038.2,1056.176,1054.401
54,2023-01-19 09:30:00-05:00,1050.595,1059.233,1039.154,1057.731,1052.565
55,2023-01-20 09:30:00-05:00,1060.49,1129.808,1060.49,1109.91,1108.593
56,2023-01-21 09:30:00-05:00,1110.624,1133.475,1100.996,1118.437,1118.913
57,2023-01-22 09:30:00-05:00,1114.985,1124.677,1092.413,1105.393,1102.441
58,2023-01-23 09:30:00-05:00,1121.007,1121.007,1093.113,1109.992,1100.711
59,2023-01-24 09:30:00-05:00,1111.244,1173.268,1104.943,1158.489,1142.089
60,2023-01-25 09:30:00-05:00,1166.767,1172.363,1135.881,1164.137,1157.836
61,2023-01-26 09:30:00-05:00,1155.414,1164.401,1130.932,1160.927,1148.395
62,2023-01-27 09:30:00-05:00,1151.611,1163.052,1142.742,1151.669,1150.164
63,2023-01-28 09:30:00-05:00,1154.315,1167.456,1144.016,1161.573,1154.269
64,2023-01-29 09:30:00-05:00,1166.177,1199.202,1163.146,1193.639,1181.77
65,2023-01-30 09:30:00-05:00,1184.943,1224.485,1184.943,1187.185,1203.973
66,2023-01-31 09:30:00-05:00,1187.463,1198.377,1173.581,1178.215,1184.321
67,2023-02-01 09:30:00-05:00,1177.628,1207.325,1153.85,1201.157,1186.022
68,2023-02-02 09:30:00-05:00,1181.846,1187.09,1108.244,1123.29,1131.052
69,2023-02-03 09:30:00-05:00,1104.104,1116.779,1089.124,1108.61,1097.339
70,2023-02-04 09:30:00-05:00,1111.379,1114.146,1098.771,1110.6,1105.812
71,2023-02-05 09:30:00-05:00,1110.835,1135.93,1110.835,1128.101,1125.993
72,2023-02-06 09:30:00-05:00,1126.323,1131.147,1060.466,1060.466,1082.718
73,2023-02-07 09:30:00-05:00,1060.097,1092.793,1054.878,1082.168,1079.284
74,2023-02-08 09:30:00-05:00,1082.278,1094.407,1066.725,1080.574,1079.118
75,2023-02-09 10:00:00-05:00,1083.584,1153.302,1083.584,1146.265,1133.848
76,2023-02-10 10:00:00-05:00,1148.14,1175.097,1148.14,1159.995,1163.955
77,2023-02-11 10:00:00-05:00,1161.67,1168.059,1141.292,1141.292,1155.201
78,2023-02-12 10:00:00-05:00,1141.062,1141.062,1100.492,1125.271,1119.684
79,2023-02-13 10:00:00-05:00,1127.563,1149.368,1106.809,1149.368,1118.858
80,2023-02-14 10:00:00-05:00,1146.088,1172.379,1138.39,1161.792,1149.109
81,2023-02-15 10:00:00-05:00,1166.01,1254.154,1164.754,1240.431,1229.137
82,2023-02-16 10:00:00-05:00,1246.09,1277.758,1239.139,1261.486,1260.398
83,2023-02-17 10:00:00-05:00,1255.997,1255.997,1226.048,1233.868,1235.522
84,2023-02-18 10:00:00-05:00,1233.679,1237.673,1197.975,1206.212,1214.761
85,2023-02-19 10:00:00-05:00,1205.915,1220.806,1193.756,1207.781,1203.454
86,2023-02-20 10:00:00-05:00,1204.212,1206.216,1176.347,1183.222,1195.507
87,2023-02-21 10:00:00-05:00,1189.421,1217.317,1179.826,1217.317,1200.518
